"Created","Modified","KB","File"
"2026-05-03","2026-05-05","5130","Chimundu_VCC_BEng_Thesis_Draft.docx"
"2026-05-11","2026-05-12","4857","Chimundu_VCC_BEng_Thesis_Final_draft_2.docx"
"2026-05-12","2026-05-12","5129","Chimundu_VCC_BEng_Thesis_Captions_Reference_Lists_Fixed_v3.docx"
"2026-05-19","2026-05-20","5104","Chimundu_VCC_BEng_Thesis_draft_2.docx"
"2026-07-10","2026-07-10","100","fault_dataset_v2.mat"
"2026-07-10","2026-07-11","1854","rf_model_v2.mat"
"2026-07-10","2026-07-11","0","confusion_v2.mat"
"2026-07-10","2026-07-11","0","cv_accuracy_v2.mat"
"2026-07-10","2026-07-11","0","oob_error_curve_v2.mat"
"2026-07-10","2026-07-11","1","feature_importance_v2.mat"
"2026-07-11","2026-07-11","19","MASTER_A_PREFLIGHT_AND_DATASET.m"
"2026-07-11","2026-07-11","52","MASTER_C_GENERATE_ALL_FIGURES.m"
"2026-07-11","2026-07-11","37","MASTER_B_TRAIN_AND_RESTORE.m"
"2026-07-11","2026-07-11","5","ABLATION_COST_SENSITIVITY.m"
"2026-07-11","2026-07-11","10","INTERPOLATION_TEST.m"
"2026-07-11","2026-07-11","5","NOISE_ROBUSTNESS.m"
"2026-07-11","2026-08-07","10863","Chimundu_VCC_BEng_Thesis_FINAL.docx"
"2026-07-12","2026-07-17","505","mining_feeder_layer_FDIR.slx"
"2026-07-13","2026-07-13","8","BUILD_FDIR_CONTROLLER.m"
"2026-07-14","2026-07-14","4","BASELINE_RULE_VS_RF.m"
"2026-07-31","2026-07-31","10074","Chimundu_VCC_BEng_Thesis_FINAL_ACKNOWLEDGEMENTS_UPDATED.docx"
"2026-08-07","2026-08-07","10796","Chimundu_VCC_BEng_Thesis_FINAL_backup_preAppendixB.docx"
"2026-08-07","2026-08-07","490","mining_feeder_layer_FINAL_baseline.slx"
