Category,Block,Parameter,Value
Source,33KV_Source,RTWMemSecFuncInitTerm,Inherit from model
Source,33KV_Source,RTWMemSecFuncExecute,Inherit from model
Source,33KV_Source,RTWMemSecDataConstants,Inherit from model
Source,33KV_Source,RTWMemSecDataInternal,Inherit from model
Source,33KV_Source,RTWMemSecDataParameters,Inherit from model
Source,33KV_Source,ContentPreviewEnabled,on
Source,33KV_Source,InternalConnection,Yg
Source,33KV_Source,VoltagePhases,off
Source,33KV_Source,Voltage,33e3
Source,33KV_Source,PhaseAngle,0
Source,33KV_Source,Voltage_phases,[25e3 25e3 25e3]/sqrt(3)
Source,33KV_Source,PhaseAngles_phases,[0 -120 +120]
Source,33KV_Source,Frequency,50
Source,33KV_Source,NonIdealSource,on
Source,33KV_Source,SpecifyImpedance,on
Source,33KV_Source,Resistance,0.8929
Source,33KV_Source,Inductance,16.58e-3
Source,33KV_Source,ShortCircuitLevel,500e6
Source,33KV_Source,BaseVoltage,33e3
Source,33KV_Source,XRratio,10
Source,33KV_Source,BusType,swing
Source,33KV_Source,Pref,10e3
Source,33KV_Source,Qref,0
Source,33KV_Source,Prefabc,"[10e3, 10e3, 10e3]"
Source,33KV_Source,Qrefabc,"[0, 0, 0]"
Source,33KV_Source,Qmin,-inf
Source,33KV_Source,Qmax,inf
Breaker,CB_BUS1_B3,RTWMemSecFuncInitTerm,Inherit from model
Breaker,CB_BUS1_B3,RTWMemSecFuncExecute,Inherit from model
Breaker,CB_BUS1_B3,RTWMemSecDataConstants,Inherit from model
Breaker,CB_BUS1_B3,RTWMemSecDataInternal,Inherit from model
Breaker,CB_BUS1_B3,RTWMemSecDataParameters,Inherit from model
Breaker,CB_BUS1_B3,ContentPreviewEnabled,on
Breaker,CB_BUS1_B3,InitialState,closed
Breaker,CB_BUS1_B3,SwitchA,on
Breaker,CB_BUS1_B3,SwitchB,on
Breaker,CB_BUS1_B3,SwitchC,on
Breaker,CB_BUS1_B3,SwitchTimes,[1000000 1000001]
Breaker,CB_BUS1_B3,External,on
Breaker,CB_BUS1_B3,BreakerResistance,0.01
Breaker,CB_BUS1_B3,SnubberResistance,1e5
Breaker,CB_BUS1_B3,SnubberCapacitance,1e-9
Breaker,CB_BUS1_B3,Measurements,None
Breaker,CB_BUS1_B4,RTWMemSecFuncInitTerm,Inherit from model
Breaker,CB_BUS1_B4,RTWMemSecFuncExecute,Inherit from model
Breaker,CB_BUS1_B4,RTWMemSecDataConstants,Inherit from model
Breaker,CB_BUS1_B4,RTWMemSecDataInternal,Inherit from model
Breaker,CB_BUS1_B4,RTWMemSecDataParameters,Inherit from model
Breaker,CB_BUS1_B4,ContentPreviewEnabled,on
Breaker,CB_BUS1_B4,InitialState,closed
Breaker,CB_BUS1_B4,SwitchA,on
Breaker,CB_BUS1_B4,SwitchB,on
Breaker,CB_BUS1_B4,SwitchC,on
Breaker,CB_BUS1_B4,SwitchTimes,[1000000 1000001]
Breaker,CB_BUS1_B4,External,on
Breaker,CB_BUS1_B4,BreakerResistance,0.01
