Name,BlockType,SourceType,SourceBlock,Category,SystemFile
33KV_Source,Reference,Three-Phase Source,spsThreePhaseSourceLib/Three-Phase Source,Source,system_root.xml
CB_BUS1_B3,Reference,Three-Phase Breaker,spsThreePhaseBreakerLib/Three-Phase Breaker,Breaker,system_root.xml
CB_BUS1_B4,Reference,Three-Phase Breaker,spsThreePhaseBreakerLib/Three-Phase Breaker,Breaker,system_root.xml
CB_MAIN,Reference,Three-Phase Breaker,spsThreePhaseBreakerLib/Three-Phase Breaker,Breaker,system_root.xml
CB_T2_BUS5,Reference,Three-Phase Breaker,spsThreePhaseBreakerLib/Three-Phase Breaker,Breaker,system_root.xml
"Constant
CB_BUS1_B3",Constant,,,,system_root.xml
"Constant
CB_BUS1_B4",Constant,,,,system_root.xml
"Constant
CB_MAIN",Constant,,,,system_root.xml
"Constant
CB_T2_BUS5",Constant,,,,system_root.xml
"Constant
TIE_B4_B5",Constant,,,TieSwitch,system_root.xml
DL_B2,Reference,Three-Phase Series RLC Load,"spsThreePhaseSeriesRLCLoadLib/Three-Phase
Series RLC Load",Load,system_root.xml
DL_B3,Reference,Three-Phase Series RLC Load,"spsThreePhaseSeriesRLCLoadLib/Three-Phase
Series RLC Load",Load,system_root.xml
DL_B4,Reference,Three-Phase Series RLC Load,"spsThreePhaseSeriesRLCLoadLib/Three-Phase
Series RLC Load",Load,system_root.xml
DL_B5,Reference,Three-Phase Series RLC Load,"spsThreePhaseSeriesRLCLoadLib/Three-Phase
Series RLC Load",Load,system_root.xml
Fault_B2,Reference,Three-Phase Fault,spsThreePhaseFaultLib/Three-Phase Fault,Fault,system_root.xml
Fault_B3,Reference,Three-Phase Fault,spsThreePhaseFaultLib/Three-Phase Fault,Fault,system_root.xml
Fault_B4,Reference,Three-Phase Fault,spsThreePhaseFaultLib/Three-Phase Fault,Fault,system_root.xml
Fault_B5,Reference,Three-Phase Fault,spsThreePhaseFaultLib/Three-Phase Fault,Fault,system_root.xml
LINE_B1_B2,Reference,Three-Phase PI Section Line,"spsThreePhasePISectionLineLib/Three-Phase
PI Section Line",Line,system_root.xml
LINE_B1_B3,Reference,Three-Phase PI Section Line,"spsThreePhasePISectionLineLib/Three-Phase
PI Section Line",Line,system_root.xml
LINE_B1_B4,Reference,Three-Phase PI Section Line,"spsThreePhasePISectionLineLib/Three-Phase
PI Section Line",Line,system_root.xml
LINE_B5_TIE,Reference,Three-Phase PI Section Line,"spsThreePhasePISectionLineLib/Three-Phase
PI Section Line",TieSwitch,system_root.xml
Measurement DL_B2,Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
Measurement DL_B3,Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
Measurement DL_B4,Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
Measurement DL_B5,Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
RMS_I_33KV_Source,Reference,RMS,spsRMSLib/RMS,Measurement,system_root.xml
RMS_I_B2,Reference,RMS,spsRMSLib/RMS,Measurement,system_root.xml
RMS_I_B3,SubSystem,,,Measurement,system_root.xml
RMS_I_B4,SubSystem,,,Measurement,system_root.xml
RMS_I_B5,SubSystem,,,Measurement,system_root.xml
RMS_I_T1,Reference,RMS,spsRMSLib/RMS,Measurement,system_root.xml
RMS_I_T2,SubSystem,,,Measurement,system_root.xml
RMS_V_33KV_Source,Reference,RMS,spsRMSLib/RMS,Measurement,system_root.xml
RMS_V_B2,Reference,RMS,spsRMSLib/RMS,Measurement,system_root.xml
RMS_V_B3,SubSystem,,,Measurement,system_root.xml
RMS_V_B4,SubSystem,,,Measurement,system_root.xml
RMS_V_B5,SubSystem,,,Measurement,system_root.xml
RMS_V_T1,Reference,RMS,spsRMSLib/RMS,Measurement,system_root.xml
RMS_V_T2,SubSystem,,,Measurement,system_root.xml
"Scope
DL_B2
Current",Scope,,,,system_root.xml
"Scope
DL_B2
Voltage",Scope,,,,system_root.xml
"Scope
DL_B3
Current",Scope,,,,system_root.xml
"Scope
DL_B3
Voltage",Scope,,,,system_root.xml
"Scope
DL_B4
Current",Scope,,,,system_root.xml
"Scope
DL_B4
Voltage",Scope,,,,system_root.xml
"Scope
DL_B5
Current",Scope,,,,system_root.xml
"Scope
DL_B5
Voltage",Scope,,,,system_root.xml
"Scope 
current
at T1",Scope,,,,system_root.xml
"Scope 
current
source",Scope,,,,system_root.xml
"Scope 
voltage
at T1",Scope,,,,system_root.xml
"Scope 
voltage
source",Scope,,,,system_root.xml
Scope2,Scope,,,,system_root.xml
Scope6,Scope,,,,system_root.xml
T1 33KV-11KV,Reference,Three-Phase Transformer (Two Windings),"spsThreePhaseTransformerTwoWindingsLib/Three-Phase
Transformer
(Two Windings)",Transformer,system_root.xml
"T2 33KV-11KV 
AUX",Reference,Three-Phase Transformer (Two Windings),"spsThreePhaseTransformerTwoWindingsLib/Three-Phase
Transformer
(Two Windings)",Transformer,system_root.xml
TIE_SWITCH,Reference,Three-Phase Breaker,spsThreePhaseBreakerLib/Three-Phase Breaker,TieSwitch,system_root.xml
"Three-Phase
V-I Measurement
Source 33KV",Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
"Three-Phase
V-I Measurement
T2 11KV",Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
"Three-Phase
V-I Measurement 
T1 11KV",Reference,Three-Phase VI Measurement,"spsThreePhaseVIMeasurementLib/Three-Phase
V-I Measurement",Measurement,system_root.xml
To Workspace,ToWorkspace,,,,system_root.xml
To Workspace1,ToWorkspace,,,,system_root.xml
To Workspace10,ToWorkspace,,,,system_root.xml
To Workspace11,ToWorkspace,,,,system_root.xml
To Workspace12,ToWorkspace,,,,system_root.xml
To Workspace13,ToWorkspace,,,,system_root.xml
To Workspace2,ToWorkspace,,,,system_root.xml
To Workspace3,ToWorkspace,,,,system_root.xml
