V_B2_A,V_B2_B,V_B2_C,V_B3_A,V_B3_B,V_B3_C,V_B4_A,V_B4_B,V_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B2_A,I_B2_B,I_B2_C,I_B3_A,I_B3_B,I_B3_C,I_B4_A,I_B4_B,I_B4_C,I_B5_A,I_B5_B,I_B5_C,class_label,class_name
10901.7084997381,10901.7084997387,10901.7084997392,10892.4759485833,10892.4759485839,10892.4759485857,10891.4501796531,10891.4501796536,10891.4501796534,10906.8512099978,10906.851209998,10906.851209999,44.4975925156008,44.4975925155928,44.497592515601,59.3067948664822,59.3067948664586,59.3067948664823,74.1467834172688,74.1467834172551,74.1467834172671,49.0188566148539,49.0188566148457,49.0188566148457,0,Healthy
10899.407364423,10899.4073644257,10899.4073644208,10889.9625735851,10889.9625735876,10889.9625735831,10888.9137104717,10888.9137104739,10888.9137104712,10904.6792238074,10904.6792238119,10904.6792238094,45.5187009505871,45.5187009506154,45.5187009505856,60.6665404694756,60.6665404694852,60.6665404694875,75.8466047598746,75.8466047598849,75.8466047598921,50.1443146093114,50.1443146093119,50.1443146093324,0,Healthy
10900.2810833398,10900.2810833418,10900.281083341,10890.9168478618,10890.9168478654,10890.9168478642,10889.8767499982,10889.87675,10889.8767500004,10905.5039065355,10905.503906537,10905.5039065367,45.1311319841343,45.1311319841326,45.1311319841392,60.1504457085323,60.1504457085366,60.1504457085538,75.201434289083,75.2014342890823,75.2014342891056,49.7171357550902,49.7171357550808,49.7171357550933,0,Healthy
10900.8136027985,10900.8136027995,10900.8136028002,10891.4984826932,10891.4984826927,10891.4984826925,10890.4637291594,10890.4637291586,10890.4637291586,10906.0065388161,10906.0065388157,10906.0065388152,44.8948324582377,44.8948324582423,44.8948324582559,59.8357806178228,59.8357806178093,59.8357806178522,74.8080706854614,74.8080706854773,74.8080706854933,49.4566881767255,49.4566881767318,49.4566881767186,0,Healthy
10902.5808138119,10902.5808138147,10902.5808138142,10893.428785116,10893.428785118,10893.4287851179,10892.4117782631,10892.4117782656,10892.4117782657,10907.6745651838,10907.6745651857,10907.6745651844,44.1102084813742,44.1102084813777,44.1102084813967,58.7909259079266,58.7909259078918,58.7909259079266,73.50189243043,73.5018924304094,73.5018924304447,48.5918921226366,48.591892122646,48.5918921226427,0,Healthy
10902.5809100817,10902.5809100809,10902.5809100837,10893.4288902753,10893.4288902751,10893.4288902787,10892.4118843903,10892.41188439,10892.411884391,10907.6746560491,10907.6746560493,10907.6746560497,44.1101657233245,44.1101657233176,44.1101657233188,58.790868960825,58.7908689607862,58.7908689608275,73.5018212417039,73.5018212416931,73.5018212417016,48.5918449944062,48.5918449944216,48.591844994419,0,Healthy
10902.9716845779,10902.9716845791,10902.9716845777,10893.8557486932,10893.8557486968,10893.8557486941,10892.8426693399,10892.8426693447,10892.8426693402,10908.0434980161,10908.0434980141,10908.0434980136,43.9365735217008,43.9365735217175,43.9365735217262,58.5596983461674,58.5596983461828,58.5596983462028,73.2128330848704,73.2128330849077,73.2128330849212,48.4005175311045,48.400517531107,48.4005175310926,0,Healthy
10899.7450951831,10899.7450951835,10899.7450951865,10890.3314381831,10890.3314381829,10890.3314381856,10889.2859627325,10889.2859627314,10889.2859627341,10904.9979999947,10904.9979999961,10904.9979999952,45.3689082395077,45.3689082395009,45.3689082394969,60.4670743549896,60.4670743549671,60.4670743549841,75.5972521358325,75.5972521358272,75.5972521358421,49.9792124799548,49.9792124799448,49.9792124799645,0,Healthy
10900.8037926114,10900.8037926117,10900.8037926113,10891.4877675662,10891.4877675667,10891.4877675661,10890.4529155646,10890.4529155636,10890.452915565,10905.9972792325,10905.997279235,10905.9972792347,44.8991861746904,44.8991861746914,44.8991861747008,59.841578212864,59.8415782128622,59.8415782128744,74.8153182759175,74.8153182758942,74.8153182759112,49.4614867940444,49.4614867940562,49.4614867940707,0,Healthy
10900.3766275978,10900.3766275971,10900.3766275941,10891.0212033604,10891.0212033602,10891.0212033585,10889.9820642579,10889.9820642586,10889.9820642548,10905.5940884739,10905.5940884724,10905.5940884721,45.0887398496103,45.0887398496349,45.0887398496087,60.0939950041762,60.0939950041998,60.0939950041867,75.1308651543182,75.1308651543633,75.1308651543373,49.670411350157,49.6704113501649,49.6704113501518,0,Healthy
