FaultBus,FaultType,Ron_ohm,LoadMult,Vpre_B4_pu,Vpre_B5_pu,Vfault_B4_pu,Vfault_B5_pu,Vpost_B4_pu,Vpost_B5_pu,Verdict
B2,SLG,0.001,0.7,0.987344039149055,0.989143238489902,0.537970760904928,0.836423084255287,0.987344039146399,0.989143238487206,PASS
B2,SLG,0.001,1,0.981814646687829,0.984396063972472,0.536637768059657,0.833939596680764,0.981814646685281,0.9843960639697,PASS
B2,SLG,0.001,1.3,0.976217500819913,0.979578550013563,0.535240951684678,0.831387223479984,0.976217500817222,0.979578550010881,PASS
B2,LL,0.001,0.7,0.987344039148918,0.989143238489927,0.166154661501221,0.702888464626996,0.987344039152015,0.989143238491944,PASS
B2,LL,0.001,1,0.981814646686594,0.984396063972061,0.165731998895441,0.700614164889143,0.981814646689869,0.984396063974095,PASS
B2,LL,0.001,1.3,0.976217500819738,0.979578550013261,0.165309888759441,0.698318466735692,0.97621750082292,0.979578550015284,PASS
B2,3PH,0.001,0.7,0.987344039148918,0.989143238489927,0.166154661505662,0.702888464625931,0.98734403915109,0.989143238491065,PASS
B2,3PH,0.001,1,0.981814646686594,0.984396063972061,0.165731998900642,0.700614164891262,0.981814646688729,0.984396063973232,PASS
B2,3PH,0.001,1.3,0.976217500819738,0.979578550013261,0.165309888760424,0.698318466736244,0.97621750082194,0.979578550014393,PASS
B3,SLG,0.001,0.7,0.98734403914916,0.989143238490193,0.565709596251965,0.848113880097276,0.987344039146303,0.989143238487107,PASS
B3,SLG,0.001,1,0.981814646687048,0.984396063972582,0.564258180816381,0.84541343341091,0.981814646684216,0.984396063969657,PASS
B3,SLG,0.001,1.3,0.976217500820132,0.97957855001338,0.562743717513679,0.842647516247821,0.976217500817188,0.979578550010277,PASS
B3,LL,0.001,0.7,0.987344039148918,0.989143238489927,0.229347638685314,0.721969207988819,0.987344039149184,0.989143238489476,PASS
B3,LL,0.001,1,0.981814646686594,0.984396063972061,0.228709336704232,0.719567750717356,0.981814646686743,0.984396063971588,PASS
B3,LL,0.001,1.3,0.976217500819738,0.979578550013261,0.228072097898526,0.717144937092462,0.976217500819902,0.97957855001277,PASS
B3,3PH,0.001,0.7,0.987344039148918,0.989143238489927,0.229347638683122,0.721969207983968,0.987344039148381,0.98914323848896,PASS
B3,3PH,0.001,1,0.981814646686594,0.984396063972061,0.2287093367027,0.719567750716429,0.981814646686014,0.984396063971017,PASS
B3,3PH,0.001,1.3,0.976217500819738,0.979578550013261,0.228072097895571,0.717144937090438,0.976217500819205,0.9795785500122,PASS
B4,SLG,0.001,0.7,0.98734403914893,0.989143238490359,0.535874589156929,0.84221624409188,0.987344039145574,0.989143238487417,PASS
B4,SLG,0.001,1,0.981814646687504,0.984396063972662,0.533555506766441,0.839590219051728,0.981814646686262,0.984396063969745,PASS
B4,SLG,0.001,1.3,0.976217500819748,0.979578550013557,0.531189033150918,0.836898102177584,0.976217500815719,0.979578550010831,PASS
B4,LL,0.001,0.7,0.987344039148918,0.989143238489927,0.00116557836688859,0.712646689911295,0.98734403914758,0.98914323849044,PASS
B4,LL,0.001,1,0.981814646686594,0.984396063972061,0.00116388806984856,0.71032557401912,0.981814646690113,0.984396063972524,PASS
B4,LL,0.001,1.3,0.976217500819738,0.979578550013261,0.00116219458352079,0.707982805913627,0.976217500822784,0.979578550013709,PASS
B4,3PH,0.001,0.7,0.987344039148918,0.989143238489927,0.00116557836688859,0.712646689908201,0.987344039146714,0.989143238489744,PASS
B4,3PH,0.001,1,0.981814646686594,0.984396063972061,0.00116388806984856,0.710325574017376,0.981814646689201,0.984396063971838,PASS
B4,3PH,0.001,1.3,0.976217500819738,0.979578550013261,0.00116219458352079,0.707982805915178,0.976217500821835,0.979578550013079,PASS
SXEW,SLG,0.001,0.7,0.987344039148959,0.989143238490605,0.925493625648911,0.554738354943217,0.987344039146229,0.989143238491524,PASS
SXEW,SLG,0.001,1,0.981814646686125,0.98439606397247,0.920942056768374,0.552231077626713,0.981814646683523,0.984396063968984,PASS
SXEW,SLG,0.001,1.3,0.976217500820919,0.979578550013816,0.916322752818542,0.549682452918874,0.976217500818519,0.979578550012395,PASS
SXEW,LL,0.001,0.7,0.987344039148918,0.989143238489927,0.864181178267112,0.000516396810723624,0.987344039150239,0.989143238496935,PASS
SXEW,LL,0.001,1,0.981814646686594,0.984396063972061,0.859890966538821,0.000515691210314559,0.981814646687695,0.984396063973523,PASS
SXEW,LL,0.001,1.3,0.976217500819738,0.979578550013261,0.855553519229242,0.000514966558614688,0.976217500821122,0.979578550015666,PASS
SXEW,3PH,0.001,0.7,0.987344039148918,0.989143238489927,0.864181178268067,0.000516396810723624,0.987344039149821,0.989143238496369,PASS
SXEW,3PH,0.001,1,0.981814646686594,0.984396063972061,0.859890966539082,0.000515691210314559,0.981814646687507,0.984396063972875,PASS
SXEW,3PH,0.001,1.3,0.976217500819738,0.979578550013261,0.855553519229644,0.000514966558614688,0.976217500820833,0.979578550015162,PASS
