Zone,LoadMult,PredictedZone,PredictionCorrect,Status,IsolatedZone,RestoredZones,RemainsOnT1,TieState,BreakersOpened,RestoredVoltages_pu,FaultBusVoltage_pu,Note
B2,0.7,B2,YES,RESTORED,B2,B3+B4,,CLOSED,"CB_MAIN,CB_BUS1_B3",0.9718      0.9744,6.21880765943206e-05,tie closed: reconnect 5.75 MVA within T2 15.00 MVA
B2,1,B2,YES,RESTORED,B2,B3+B4,,CLOSED,"CB_MAIN,CB_BUS1_B3",0.9674      0.9708,4.53791415552787e-05,tie closed: reconnect 7.81 MVA within T2 15.00 MVA
B2,1.3,B2,YES,RESTORED,B2,B3+B4,,CLOSED,"CB_MAIN,CB_BUS1_B3",0.9627      0.9669,3.55605999450978e-05,tie closed: reconnect 9.87 MVA within T2 15.00 MVA
B3,0.7,B3,YES,RESTORED,B3,B4,B2,CLOSED,"CB_BUS1_B3,CB_BUS1_B4",0.9813,2.72864040515771e-05,tie closed: reconnect 3.89 MVA within T2 15.00 MVA
B3,1,B3,YES,RESTORED,B3,B4,B2,CLOSED,"CB_BUS1_B3,CB_BUS1_B4",0.9788,1.98263234641072e-05,tie closed: reconnect 5.29 MVA within T2 15.00 MVA
B3,1.3,B3,YES,RESTORED,B3,B4,B2,CLOSED,"CB_BUS1_B3,CB_BUS1_B4",0.9763,1.54693795682146e-05,tie closed: reconnect 6.70 MVA within T2 15.00 MVA
B4,0.7,B4,YES,ISOLATED_NO_TIE,B4,,B2+B3,OPEN,"CB_BUS1_B4",,2.18102983760468e-05,tie kept OPEN by design (would backfeed faulted zone); healthy buses remain on T1
B4,1,B4,YES,ISOLATED_NO_TIE,B4,,B2+B3,OPEN,"CB_BUS1_B4",,1.58516376243595e-05,tie kept OPEN by design (would backfeed faulted zone); healthy buses remain on T1
B4,1.3,B4,YES,ISOLATED_NO_TIE,B4,,B2+B3,OPEN,"CB_BUS1_B4",,1.23685354664153e-05,tie kept OPEN by design (would backfeed faulted zone); healthy buses remain on T1
B5,0.7,B5,YES,ISOLATED_NO_TIE,B5,,B2+B3+B4,OPEN,"CB_T2_BUS5",,3.28489138099228e-05,tie kept OPEN by design (would backfeed faulted zone); healthy buses remain on T1
B5,1,B5,YES,ISOLATED_NO_TIE,B5,,B2+B3+B4,OPEN,"CB_T2_BUS5",,2.38402323744693e-05,tie kept OPEN by design (would backfeed faulted zone); healthy buses remain on T1
B5,1.3,B5,YES,ISOLATED_NO_TIE,B5,,B2+B3+B4,OPEN,"CB_T2_BUS5",,1.85699117784265e-05,tie kept OPEN by design (would backfeed faulted zone); healthy buses remain on T1
